3298 13 13 26 0 0.568051 -9.63295e-06 -0.00125087 0.0010442
6413 18 17 27 0 0.214451 -0.000137822 -0.000883887 0.000681948
6420 28 26 28 1 -0.860289 0.00129102 -0.000957306 0.00100379
7168 19 17 29 0 -0.0973116 -0.000146031 -0.000860549 0.000688545
7590 1 1 30 0 0.0296402 -0.00010801 -0.000881473 0.000794727
8639 22 18 31 0 0.560274 -0.000163424 -0.00082735 0.00073709
8639 36 30 32 0 0.566731 -0.000198942 -0.00082735 0.00073709
8639 38 31 33 0 0.394758 -0.000216336 -0.00082735 0.00073709
9028 21 17 34 0 0.325425 -0.000107523 -0.000805118 0.000701171
9897 34 27 35 0 0.649034 -0.000126613 -0.000902836 0.000805337
9899 44 34 36 1 0.724392 0.00293755 -0.00101205 0.00189022
11511 31 24 37 0 0.00149904 -8.47651e-06 -0.000876201 0.000873374
13127 5 4 38 0 -0.45341 -0.000322775 -0.00102994 0.000841625
13952 42 30 39 0 0.107619 -0.000104735 -0.000978149 0.000747841
15074 39 27 39 0 0.181677 3.11838e+16 -1.19775e+21 1.41467e+21
15074 53 37 40 0 -1.39733 -3.06353e+09 -1.19775e+21 1.41467e+21
