# time	value
0	250
1	298.392
2	303.376
3	365.687
4	381.465
5	394.534
6	379.206
7	410.973
8	382.431
9	381.101
10	365.651
11	388.944
12	387.023
13	412.844
14	413.99
15	368.272
16	400.073
17	371.895
18	410.813
19	428.355
20	437.079
21	456.175
22	481.844
23	482.573
24	493.336
25	513.808
26	464.835
27	425.318
28	367.782
29	458.427
30	477.706
31	465.713
32	454.338
33	464.399
34	474.046
35	463.57
36	472.164
37	455.277
38	473.406
39	445.224
40	472.204
41	518.077
42	533.931
43	544.007
44	561.362
45	534.521
46	506.424
47	516.592
48	519.067
49	558.661
50	552.042
51	580.669
52	554.924
53	547.787
54	502.419
55	474.989
56	451.09
57	437.785
58	445.087
59	463.487
60	474.12
61	493.375
62	531.453
63	503.151
64	480.143
65	453.713
66	430.914
67	462.656
68	457.835
69	464.638
70	467.079
71	446.348
72	479.817
73	477.941
74	518.082
75	530.663
76	548.716
77	581.217
78	614.535
79	611.952
80	639.399
81	641.022
82	589.996
83	579.916
84	564.269
85	589.631
86	573.538
87	556.472
88	552.93
89	552.056
90	564.579
91	546.659
92	580.901
93	592.745
94	561.166
95	587.603
96	591.272
97	557.709
98	576.916
99	566.172
100	544.911
101	521.764
102	508.943
103	489.184
104	478.654
105	502.821
106	514.23
107	510.255
108	502.515
109	487.035
110	518.347
111	484.516
112	476.149
113	499.543
114	544.321
115	565.831
116	573.871
117	562.233
118	543.09
119	536.549
120	569.993
121	589.793
122	629.803
123	622.73
124	644.103
125	663.986
126	678.323
127	716.909
128	706.612
129	711.78
130	727.521
131	749.3
132	748.944
133	771.238
134	784.207
135	732.456
136	785.651
137	797.601
138	796.393
139	783.486
140	762.575
141	719.147
142	696.54
143	725.057
144	733.681
145	752.701
146	733.486
147	750.591
148	784.05
149	779.377
150	762.05
151	689.511
152	677.589
153	703.869
154	726.505
155	753.913
156	729.925
157	697.186
158	683.344
159	684.974
160	708.427
161	661.212
162	642.794
163	602.506
164	571.231
165	583.156
166	592.223
167	584.666
168	619.914
169	596.814
170	617.273
171	621.586
172	617.937
173	662.528
174	686.829
175	730.241
176	719.03
177	727.568
178	692.397
179	681.69
180	704.015
181	724.532
182	696.356
183	735.626
184	694.646
185	738.276
186	772.207
187	743.535
188	761.286
189	769.809
190	788.244
191	809.221
192	803.838
193	807.253
194	816.507
195	826.189
196	792.35
197	821.414
198	841.822
199	854.519
200	865.329
201	842.008
202	859.791
203	851.974
204	903.357
205	898.276
206	867.883
207	863.447
208	891.465
209	845.808
210	834.394
211	822.193
212	858.229
213	882.403
214	888.967
215	878.795
216	819.833
217	827.175
218	837.653
219	858.485
220	860.072
221	909.92
222	901.951
223	929.927
224	940.498
225	945.837
226	932.195
227	909.412
228	851.921
229	878.366
230	882.453
231	908.778
232	935.905
233	931.52
234	917.86
235	956.597
236	998.341
237	964.939
238	996.946
239	1029.15
240	1079.06
241	1062.27
242	1017.31
243	1018.65
244	1016.28
245	1025.71
246	1050.82
247	1040.41
248	1050.67
249	1051.15
250	1058.57
251	1044.76
252	1027.52
253	984.992
254	1003.45
255	1002.82
256	1019.9
257	1038.68
258	1061.45
259	1041.46
260	1029.01
261	1006.83
262	983.994
263	993.077
264	976.446
265	963.642
266	969.35
267	972.709
268	999.738
269	1003.52
270	972.609
271	1037.45
272	1010.37
273	1009.48
274	1015.51
275	1045.24
276	1032.55
277	1039.91
278	1070.71
279	1092.28
280	1113.92
281	1119.55
282	1142.82
283	1128.15
284	1137.16
285	1143.31
286	1164.32
287	1171.17
288	1150.94
289	1144.71
290	1140.88
291	1171.15
292	1174.16
293	1202.8
294	1189.65
295	1194.59
296	1165.33
297	1170.49
298	1172.39
299	1166.95
300	1164.6
301	1173.35
302	1139.3
303	1118.54
304	1102.37
305	1102.84
306	1141.3
307	1141.8
308	1124.38
309	1143.91
310	1161.48
311	1128.96
312	1178
313	1174.58
314	1213.84
315	1246.27
316	1249.64
317	1247.37
318	1248.34
319	1211.6
320	1210.39
321	1245.14
322	1219.5
323	1249.57
324	1228.99
325	1221.85
326	1196.67
327	1240.36
328	1259.99
329	1278.35
330	1301.55
331	1291.29
332	1322.61
333	1285.21
334	1326.99
335	1297.62
336	1313.28
337	1288.72
338	1280.36
339	1278.11
340	1291.65
341	1302.77
342	1314.36
343	1306.71
344	1325.49
345	1353.26
346	1363.98
347	1367.31
348	1365.72
349	1385.05
350	1428.11
351	1444.9
352	1439.43
353	1393.94
354	1379.61
355	1393.4
356	1379.37
357	1354.58
358	1304.62
359	1246.26
360	1262.14
361	1200.15
362	1210.12
363	1234.02
364	1207.72
365	1231.1
366	1226.2
367	1264.54
368	1259.71
369	1288.12
370	1290.84
371	1268.64
372	1308.6
373	1323.93
374	1361.86
375	1371.55
376	1367.29
377	1351.34
378	1330.13
379	1358.88
380	1394.27
381	1372.52
382	1362.82
383	1321.43
384	1342.87
385	1316.96
386	1314
387	1320.34
388	1298.94
389	1278.97
390	1280.23
391	1306.16
392	1307.29
393	1283.15
394	1311.96
395	1292.94
396	1272.3
397	1282.32
398	1273.69
399	1223.61
400	1223.53
401	1217.99
402	1195.52
403	1157.62
404	1187.67
405	1234.94
406	1254.47
407	1218.93
408	1164.75
409	1177.78
410	1212.99
411	1246.37
412	1190.53
413	1216.06
414	1211.29
415	1223.83
416	1219.03
417	1259.18
418	1251.13
419	1256.41
420	1282.78
421	1298.32
422	1343.62
423	1325.56
424	1289.11
425	1234.94
426	1251.33
427	1279.39
428	1254.49
429	1257.83
430	1206.77
431	1237.43
432	1238.05
433	1253.44
434	1221.71
435	1216.48
436	1213.19
437	1206.27
438	1184.36
439	1156.39
440	1163.63
441	1152.22
442	1140.04
443	1120.74
444	1115.51
445	1118.59
446	1116.03
447	1099.86
448	1106.9
449	1150.82
450	1132.45
451	1123.47
452	1104.97
453	1123.9
454	1113.26
455	1114.14
456	1088.1
457	1131.35
458	1119.52
459	1168.96
460	1117.25
461	1102.26
462	1107.55
463	1107.98
464	1094.92
465	1132.88
466	1130.02
467	1091.76
468	1050.51
469	1041.23
470	1045.87
471	1017.68
472	989.098
473	990.869
474	967.418
475	960.883
476	973.01
477	943.009
478	950.562
479	940.631
480	973.541
481	1007.48
482	1007.22
483	1020.59
484	1039.25
485	1068.58
486	1017.72
487	1062.26
488	1026.05
489	983.98
490	965.019
491	943.894
492	958.899
493	1010.43
494	1029.65
495	1015.99
496	1072.66
497	1044.96
498	1076.27
499	1072.45
500	1069.51
501	1087.38
502	1115.37
503	1147.49
504	1183.05
505	1155.21
506	1140.72
507	1129.98
508	1147.16
509	1143.82
510	1169.1
511	1138.77
512	1087.68
513	1085.04
514	1079.66
