# time	value
0	250
1	259.599
2	209.617
3	244.516
4	293.504
5	321.474
6	333.321
7	321.069
8	322.175
9	311.324
10	324.338
11	328.384
12	343.916
13	358.53
14	396.274
15	421.034
16	416.834
17	441.133
18	460.974
19	513.217
20	563.22
21	576.713
22	583.872
23	627.082
24	654.536
25	639.618
26	679.811
27	679.836
28	686.463
29	691.016
30	652.151
31	633.451
32	662.79
33	715.873
34	754.462
35	734.418
36	768.268
37	785.303
38	755.06
39	707.46
40	683.929
41	661.596
42	671.651
43	661.975
44	692.984
45	699.467
46	704.077
47	689.659
48	687.841
49	663.092
50	621.343
51	580.593
52	593.278
53	577.081
54	588.935
55	583.127
56	602.658
57	615.614
58	589.12
59	588.215
60	557.827
61	561.197
62	545.984
63	557.442
64	546.717
65	567.061
66	558.01
67	538.566
68	511.206
69	528.464
70	565.652
71	569.601
72	573.885
73	574.808
74	562.579
75	587.193
76	620.607
77	633.661
78	650.632
79	658.495
80	648.544
81	648.934
82	671.259
83	677.506
84	671.358
85	733.911
86	720.84
87	734.605
88	732.72
89	805.053
90	825.498
91	830.141
92	837.277
93	844.355
94	833.708
95	856.172
96	856.836
97	883.8
98	874.684
99	861.644
100	833.01
101	880.046
102	912.134
103	875.822
104	819.453
105	846.792
106	809.856
107	794.478
108	792.8
109	806.697
110	824.403
111	820.459
112	851.776
113	878.032
114	863.062
115	874.516
116	868.926
117	874.859
118	869.09
119	892.896
120	912.873
121	941.268
122	921.32
123	933.965
124	922.945
125	902.807
126	879.154
127	863.028
128	825.571
129	771.396
130	772.144
131	789.171
132	809.277
133	852.509
134	850.387
135	893.777
136	865.342
137	863.693
138	902.148
139	875.351
140	889.843
141	940.497
142	954.768
143	973.79
144	977.854
145	1005.89
146	1007.35
147	1020.03
148	997.592
149	983.939
150	971.101
151	962.846
152	970.328
153	953.988
154	952.573
155	982.32
156	1005.46
157	1004.79
158	986.947
159	985.739
160	972.802
161	954.248
162	899.666
163	910.279
164	928.815
165	918.366
166	932.494
167	993.8
168	975.17
169	968.526
170	946.487
171	974.431
172	959.876
173	958.869
174	929.896
175	968.808
176	957.633
177	968.149
178	1001.99
179	1030.38
180	990.395
181	977.665
182	963.833
183	984.548
184	1019.95
185	1010.28
186	1060.68
187	1070.68
188	1118.23
189	1122.09
190	1130.19
191	1119.26
192	1130.45
193	1174.27
194	1164.86
195	1151.11
196	1153.31
197	1159.62
198	1211.88
199	1171.5
200	1153.44
201	1178.34
202	1201.16
203	1209.57
204	1193.58
205	1200.58
206	1204.04
207	1208.56
208	1250.92
209	1261.2
210	1230.09
211	1210.38
212	1212.88
213	1206.23
214	1185.42
215	1247.5
216	1274
217	1245.3
218	1228.53
219	1188.63
220	1173.45
221	1219.95
222	1203.8
223	1160.09
224	1160.19
225	1160.98
226	1142.58
227	1175.79
228	1161.95
229	1186
230	1168
231	1148.68
232	1155.22
233	1143.31
234	1144.15
235	1189.6
236	1144.49
237	1144.91
238	1123.33
239	1125.19
240	1126.25
241	1160.61
242	1213.11
243	1199.57
244	1211.1
245	1222.57
246	1204.69
247	1219.69
248	1255.4
249	1279.5
250	1276.26
251	1262.61
252	1242.22
253	1209.23
254	1210.63
255	1222.52
256	1237.38
257	1220.42
258	1244.3
259	1228.93
260	1254.08
261	1268.79
262	1250.55
263	1249.58
264	1261.79
265	1303.98
266	1269.42
267	1266.77
268	1293.48
269	1277.67
270	1270.36
271	1254.49
272	1277.71
273	1247.62
274	1270.38
275	1286.16
276	1251.11
277	1278.41
278	1327.41
279	1318.41
280	1300.32
281	1320.92
282	1327.48
283	1325.29
284	1314.74
285	1308.41
286	1291.93
287	1270.43
288	1272.11
289	1244.15
290	1265.67
291	1259.59
292	1252.07
293	1279.13
294	1300.27
295	1289.65
296	1241.14
297	1222.3
298	1268.56
299	1240.65
300	1223.31
301	1264.85
302	1284.14
303	1287.43
304	1275.84
305	1282.34
306	1293.09
307	1290.11
308	1284.31
309	1268.86
310	1287.41
311	1298.21
312	1261.82
313	1320.2
314	1301.13
315	1279.7
316	1284.45
317	1298.91
318	1301.2
319	1223.03
320	1216.08
321	1246.51
322	1260.38
323	1227.18
324	1253.26
325	1249.3
326	1239.3
327	1186.41
328	1177.69
329	1188.84
330	1202.83
331	1213.38
332	1244.12
333	1282.14
334	1229.26
335	1267.23
336	1274.8
337	1272.26
338	1274.33
339	1299.62
340	1305.82
341	1317.16
342	1317.19
343	1301.98
344	1287.29
345	1297.5
346	1374.97
347	1373.55
348	1401.19
349	1386.46
350	1389.41
351	1428.58
352	1409.7
353	1434.33
354	1410.13
355	1413.96
356	1398.05
357	1406.95
358	1436.64
359	1464.75
360	1427.49
361	1412.22
362	1396.26
363	1408.87
364	1389.64
365	1431.62
366	1429.98
367	1368.35
368	1396.09
369	1398.01
370	1395.11
371	1444.61
372	1444.6
373	1464.96
374	1469.76
375	1482.14
376	1503.04
377	1503.53
378	1511.9
379	1507.15
380	1509.89
381	1506.69
382	1512.47
383	1461.5
384	1492.46
385	1475.97
386	1489.01
387	1487.14
388	1470.75
389	1476.72
390	1495.61
391	1508.25
392	1465.05
393	1434.52
394	1433.28
395	1438.24
396	1474.91
397	1489.8
398	1504.46
399	1472.5
400	1497.62
401	1492.57
402	1512.03
403	1515.1
404	1519.23
405	1457.98
406	1455.89
407	1525.06
408	1542.36
409	1502.54
410	1509.57
411	1500.3
412	1528.21
413	1528.61
414	1533.17
415	1539.16
416	1521.15
417	1533.65
418	1487.83
419	1528.94
420	1498.29
421	1511.04
422	1499.5
423	1485.29
424	1503.58
425	1513.04
426	1513.01
427	1509.69
428	1518.93
429	1538.88
430	1534.04
431	1544.9
432	1575.94
433	1598.46
434	1665.14
435	1665.87
436	1639.39
437	1669
438	1662.66
439	1665.83
440	1661.73
441	1623.64
442	1619.6
443	1626.31
444	1583.32
445	1599.68
446	1600.6
447	1597.46
448	1637.67
449	1610.01
450	1578.09
451	1564.13
452	1616.83
453	1642.78
454	1636.19
455	1620.67
456	1621.51
457	1632.21
458	1669.65
459	1710.07
460	1718.55
461	1725.97
462	1754.23
463	1732.44
464	1747.88
465	1737.43
466	1769.63
467	1717.72
468	1726.95
469	1703.94
470	1733.38
471	1769.63
472	1741.42
473	1734.59
474	1710.51
475	1686.82
476	1693.6
477	1690.11
478	1707.82
479	1693.03
480	1720.81
481	1689.64
482	1668.49
483	1644.55
484	1594.09
485	1533.84
486	1532.42
487	1534.9
488	1466.65
489	1468.28
490	1450.09
491	1429.93
492	1420.92
493	1424.4
494	1413.03
495	1390.51
496	1392.06
497	1387.33
498	1387.96
499	1356.05
500	1366.65
501	1408.96
502	1411.88
503	1406.02
504	1414.62
505	1454.87
506	1466.94
507	1497.84
508	1555.27
509	1544.4
510	1551.41
511	1556.15
512	1586.43
513	1517.65
514	1476.74
515	1492.69
516	1460.25
517	1467
518	1491.05
519	1499.82
520	1503.9
521	1546.06
522	1546.73
523	1547.86
524	1476.47
525	1492.78
526	1522.4
527	1500.11
528	1445.57
529	1469.4
530	1481.2
531	1432.01
532	1423.86
533	1409.18
534	1381.91
535	1437.32
536	1428.87
537	1404.21
538	1412.93
539	1442.26
540	1451.66
541	1453.05
542	1429.83
543	1409.41
544	1441.86
545	1478.51
546	1471.39
547	1476.94
548	1520.13
549	1499.59
550	1476.46
551	1442.15
552	1449.8
553	1459.4
554	1446.29
555	1411.07
556	1419.18
557	1398.64
558	1446.42
559	1406.76
560	1414.66
561	1432.36
562	1448.52
563	1418.1
564	1425.69
565	1406.22
566	1431.79
567	1428.06
568	1401.75
569	1431.69
570	1456.45
571	1400.37
572	1393.47
573	1400.47
574	1399.05
575	1442.47
576	1418.68
577	1429.3
578	1436.59
579	1433.51
580	1405.84
581	1426.16
582	1409.87
583	1399.52
584	1373.48
585	1371.6
586	1362.37
587	1356.62
588	1347.25
589	1326.48
590	1301.94
591	1346.57
592	1357.07
593	1364.67
594	1332.8
595	1274.76
596	1303
597	1326.15
598	1347.52
599	1348.19
600	1332.05
601	1297.6
602	1319.86
603	1345.18
604	1291.98
605	1292.57
606	1334.42
607	1343.38
608	1370.08
609	1382.07
610	1443.43
611	1473.8
612	1422.94
613	1397.42
614	1401.91
615	1373.45
616	1434.65
617	1439.66
618	1457.83
619	1432.05
620	1426.74
621	1409.25
622	1424.31
623	1426.05
624	1387.69
625	1308.12
626	1267.97
627	1216.25
628	1246.66
629	1211.4
630	1204.76
631	1151.87
632	1157.88
633	1138.73
634	1151.12
635	1128.08
636	1093.57
637	1090.94
638	1094.51
639	1092.03
640	1070.96
641	1084.86
642	1049.94
643	1048.97
644	1124.98
645	1124.15
646	1134.81
647	1127.86
648	1127.63
649	1126.57
650	1132.26
651	1099
652	1151.56
653	1119.34
654	1101.95
655	1134.6
656	1146.59
657	1142.17
658	1130.95
659	1120.65
660	1116.85
661	1117.56
662	1084.07
663	1089.82
664	1084.69
665	1075.59
666	1055.89
667	1053.6
668	1045.57
669	1004.74
670	967.309
671	935.409
672	919.253
673	915.387
674	907.084
675	846.587
676	871.375
677	865.485
678	874.717
679	896.147
680	884.272
681	889.368
682	934.566
683	950.688
684	955.863
685	986.182
686	968.558
687	976.031
688	949.11
689	952.618
690	992.459
691	972.838
692	991.368
693	966.053
694	948.002
695	934.842
696	901.398
697	905.307
698	960.665
699	974.494
700	983.067
701	982.529
702	978.384
703	960.187
704	973.565
705	984.451
706	979.48
707	955.901
708	947.102
709	912.651
710	896.077
711	895.642
712	943.814
713	949.479
714	955.618
715	964.977
716	931.626
717	943.02
718	929.516
719	897.421
720	864.628
721	818.501
722	772.809
723	777.073
724	792.694
725	817.053
726	834.996
727	860.387
728	867.349
729	881.217
730	901.074
731	927.969
732	901.703
733	914.04
734	950.905
735	948.823
736	937.696
737	917.787
738	948.741
739	995.171
740	972.617
741	1059.12
742	1021.78
743	1054.52
744	1107.65
745	1154.67
746	1166.94
747	1214.01
748	1212.17
749	1234.51
750	1248.8
751	1245.61
752	1251.62
753	1252.59
754	1248.54
755	1277.6
756	1283.16
757	1234.12
758	1260.12
759	1268.59
760	1317.97
761	1405.17
762	1358.9
763	1361.71
764	1356.11
765	1354.86
766	1320.81
767	1331.8
768	1333
769	1333.65
770	1348.85
771	1330.55
772	1348.53
773	1321.25
774	1357.79
775	1307.64
776	1294.07
777	1322.52
778	1307.68
779	1326.73
780	1375.32
781	1349.77
782	1347.99
783	1346.24
784	1378.69
785	1413.49
786	1423.99
787	1369.49
788	1400.88
789	1398.06
790	1427.59
791	1427.37
792	1400.62
793	1421.58
794	1397.94
795	1374.18
796	1389.16
797	1397.72
798	1429.42
799	1442.72
800	1459.37
801	1428.13
802	1385.28
803	1415.08
804	1419.29
805	1416.5
806	1444.33
807	1473.39
808	1481.31
809	1492.12
810	1557.84
811	1533.05
812	1549.63
813	1547.22
814	1539.92
815	1530.42
816	1539.05
817	1570.95
818	1591.8
819	1561.92
820	1516.51
821	1557.74
822	1529.37
823	1577.78
824	1533.2
825	1590.76
826	1602.65
827	1604.13
828	1598.4
829	1612.53
830	1658.62
831	1632.07
832	1606.24
833	1647.46
834	1660.43
835	1680.32
836	1689.79
837	1717.64
838	1726.84
839	1764.07
840	1789.58
841	1771.81
842	1755.89
843	1754.11
844	1732.2
845	1751.19
846	1771.67
847	1767.81
848	1779.96
849	1771.57
850	1741.24
851	1738.84
852	1716.05
853	1728.65
854	1699.73
855	1704.7
856	1686.14
857	1650.09
858	1668.72
859	1665.94
860	1693.87
861	1669.63
862	1658.04
863	1653.65
864	1656.79
865	1653.48
866	1640.12
867	1650.45
868	1633.35
869	1600.92
870	1576.25
871	1521.81
872	1514.06
873	1510.59
874	1539.98
875	1556.16
876	1590.22
877	1580.18
878	1561.42
879	1604.68
880	1633.44
881	1601.54
882	1587.88
883	1573.48
884	1558.03
885	1597.8
886	1618.94
887	1601.46
888	1590.67
889	1614.48
890	1611.97
891	1616.34
892	1584.77
893	1558.4
894	1556.53
895	1581.97
896	1646.21
897	1632.81
898	1676.69
899	1652.55
900	1666.94
901	1663.39
902	1671.87
903	1701.33
904	1643.24
905	1681.38
906	1742.52
907	1705.63
908	1718.88
909	1752.1
910	1785.28
911	1851.03
912	1815.16
913	1792.23
914	1768.01
915	1756.14
916	1738.51
917	1732.88
918	1699.73
919	1687.69
920	1693
921	1681.18
922	1663.83
923	1690.3
924	1689.84
925	1661.7
926	1646.19
927	1661.07
928	1675.82
929	1713.93
930	1741.63
931	1790.57
932	1785.63
933	1775.11
934	1818.21
935	1808.1
936	1759.16
937	1761.75
938	1776.27
939	1744.17
940	1719.04
941	1727.96
942	1734.59
943	1708.92
944	1693.57
945	1672.47
946	1699.07
947	1655
948	1680.22
949	1688.95
950	1701.48
951	1664.49
952	1671.7
953	1697.19
954	1697.48
955	1709.38
956	1665.99
957	1692.48
958	1723.3
959	1730.45
960	1729.35
961	1719.7
962	1699.85
963	1714.9
964	1733.78
965	1737.11
966	1720.62
967	1681.69
968	1726.22
969	1718.68
970	1694.24
971	1699.33
972	1693.16
973	1682.9
974	1697.53
975	1747.16
976	1749.24
977	1758.84
978	1740.13
979	1722.01
980	1689.71
981	1648.54
982	1671.16
983	1647.94
984	1605.16
985	1611.62
986	1623.91
987	1627.08
988	1630.54
989	1593.61
990	1545.17
991	1533.12
992	1532.66
993	1553.19
994	1539.22
995	1557.81
996	1594.1
997	1611.96
998	1616.47
999	1600.9
1000	1561.18
1001	1491.02
1002	1501.36
1003	1528.21
1004	1498.1
1005	1491.01
1006	1514.39
1007	1522.35
1008	1502.43
1009	1505.49
1010	1461.37
1011	1473.1
1012	1433.14
1013	1432.91
1014	1464.59
1015	1487
1016	1459.88
1017	1484.81
1018	1515.87
1019	1490.38
1020	1463.31
1021	1505.08
1022	1507.28
1023	1509.53
1024	1486.79
1025	1493.6
1026	1486.24
1027	1493.47
1028	1513.24
1029	1516.73
1030	1562.85
1031	1575.52
1032	1603.12
1033	1634.04
1034	1631.29
1035	1662.21
1036	1634.87
1037	1663.12
1038	1660.36
1039	1645.43
1040	1620.91
1041	1631.65
1042	1620.3
1043	1665.12
1044	1598.12
1045	1540.69
1046	1524.68
1047	1567.13
1048	1573.2
1049	1577.08
1050	1575.61
1051	1561.64
1052	1555.36
1053	1536.75
1054	1532.89
1055	1533.09
1056	1536.23
1057	1495.7
1058	1555.28
1059	1597.53
1060	1652
1061	1634.75
1062	1638.25
1063	1622.4
1064	1635.73
1065	1645.82
1066	1650.81
1067	1660.67
1068	1633.82
1069	1595.21
1070	1588.01
1071	1599.7
1072	1555.35
1073	1553.54
1074	1550.97
1075	1565.67
1076	1571.47
1077	1540.36
1078	1559.03
1079	1559.93
1080	1519.96
1081	1529.71
1082	1469.82
1083	1469.4
1084	1475.93
1085	1471.67
1086	1462.06
1087	1512.32
1088	1547.36
1089	1514.17
1090	1542.51
1091	1553.77
1092	1548.54
1093	1521.76
1094	1478.95
1095	1474.77
1096	1478.25
1097	1502.84
1098	1520.8
1099	1529.64
1100	1544.52
1101	1565.06
1102	1602.69
1103	1645.38
1104	1657.51
1105	1653.44
1106	1603.52
1107	1583.56
1108	1582.05
1109	1618.07
1110	1585.88
1111	1555.24
1112	1535.88
1113	1506.25
1114	1542.07
1115	1551.87
1116	1518.21
1117	1532.3
1118	1521.31
1119	1575.29
1120	1564.17
1121	1555.28
1122	1557.03
1123	1561.32
1124	1518.79
1125	1489.69
1126	1473.28
1127	1476.51
1128	1461.47
1129	1440.82
1130	1460.57
1131	1475.82
1132	1484.13
1133	1491.46
1134	1492.26
1135	1493.72
1136	1508.45
1137	1507.46
1138	1484.7
1139	1456.76
1140	1438.03
1141	1399.33
1142	1368
1143	1374.01
1144	1387.79
1145	1387.39
1146	1389.09
1147	1401.15
1148	1358.45
1149	1379.92
1150	1391.95
1151	1407.16
1152	1422.2
1153	1419.38
1154	1427.99
1155	1418.52
1156	1404.42
1157	1400.47
1158	1378.06
1159	1373.33
1160	1383.05
1161	1391.02
1162	1383.41
1163	1399
1164	1396.92
