# time	value
0	250
1	285.362
2	351.023
3	361.524
4	363.438
5	417.474
6	403.34
7	426.817
8	451.966
9	448.885
10	448.877
11	475.863
12	471.617
13	466.99
14	448.577
15	459.247
16	460.594
17	481.828
18	509.383
19	496.327
20	534.736
21	549.744
22	603.471
23	606.455
24	638.115
25	634.927
26	657.554
27	665.9
28	671.639
29	658.204
30	680.643
31	662.55
32	670.532
33	664.801
34	663.833
35	636.03
36	641.697
37	646.357
38	624.032
39	647.941
40	623.596
41	612.107
42	617.063
43	625.11
44	620.837
45	637.606
46	565.843
47	561.127
48	533.854
49	525.361
50	523.76
51	478.872
52	475.989
53	504.671
54	571.002
55	552.412
56	513.809
57	502.332
58	521.495
59	570.226
60	580.738
61	543.381
62	531.656
63	518.73
64	495.59
65	475.398
66	457.4
67	472.336
68	487.74
69	520.785
70	581.604
71	536.143
72	553.968
73	583.475
74	582.998
75	570.837
76	561.178
77	588.72
78	543.196
79	557.123
80	560.695
81	564.993
82	548.635
83	581.803
84	599.593
85	582.918
86	594.209
87	591.746
88	615.422
89	617.773
90	622.888
91	641.804
92	679.005
93	711.096
94	695.009
95	687.897
96	695.601
97	717.759
98	739.192
99	745.557
100	767.769
101	760.307
102	771.082
103	819.764
104	830.27
105	843.073
106	881.305
107	876.302
108	905.83
109	962.223
110	965.329
111	1014.88
112	1030.01
113	1034.24
114	1056.12
115	1065.57
116	1068.77
117	1066.22
118	1023
119	1028.71
120	1056.12
121	1022.53
122	1055.76
123	1050.74
124	1030.08
125	1003.19
126	993.645
127	1033.21
128	1057.43
129	1066.54
130	1026.44
131	1054.13
132	1065.67
133	1057.66
134	1063.79
135	1089.88
136	1075.82
137	1077.98
138	1070.85
139	1083.03
140	1081.12
141	1140.06
142	1151.89
143	1164.16
144	1168.37
145	1169.44
146	1189.4
147	1174.5
148	1156.52
149	1164.03
150	1164.69
151	1162.09
152	1179.88
153	1186.04
154	1206.66
155	1177.73
156	1204.88
157	1201
158	1177.51
159	1205.52
160	1204.45
161	1181.62
162	1157.55
163	1190.39
164	1198.3
165	1202.04
166	1231.49
167	1275.84
168	1257.71
169	1258.66
170	1250.54
171	1226.47
172	1211.99
173	1184.18
174	1180.19
175	1177.14
176	1141.41
177	1144.52
178	1153.74
179	1136.05
180	1185.5
181	1185.65
182	1160.22
183	1167.89
184	1167.14
185	1153.97
186	1140.2
